Exam Question,Option - A,Option - B,Option - C,Option - D,Answer,Difficulty
"Kailangan ni Mang Ted ng ?58,205 upang maipambayad sa kaniyang hinuhulugan. Magwiwidraw siya ng pera sa bangko. Paano niya isusulat ang naturang halaga sa withdrawal slip?",Fifty thousand eight hundred five pesos,Fifty eight thousand two hundred fifty pesos,Fifty eight thousand two hundred five pesos,Fifty thousand eight hundred twenty five pesos,C,
Si Arnie at ang kaniyang anak ay kumain sa karinderya ni Aling Dina. Ang kinain ni Arnie ay mani at lumpia at ang kaniyang anak naman ay lugaw na may itlogbabayaran ni Arnie ayon sa mga presyong nakatala sa menu sa itaas?,?27.50,?28.50,?32.50,?42.50,D,
"Sa pagtitimpla ng orange juice, 3 kutsarang powdered juice ang ginagamit sa 1 basong tubig. Ilang kutsarang powdered juice ang kailangan kung 5 basong tubig ang gagamitin?",5,8,12,15,D,
Si isabel ay binigyan ng kaniyang lola ng isang buong tsokolate. Hinati niya ito sa tatlong parte. Ibinigay niya ang unang parte ng tsokolate sa kaniyang nakababatang kapatid at isa pang parte sa kaniyang pinsan. Anong parte ng tsokolate ang natira sa kaniya?,,,,,B,
"Namili si Nita sa Divisoria ng t-shirt upang ibenta sa kaniyang tindahan. Ang puhunan niya ay ?65 sa bawat t-shirt. Kung ipagbibili niyo ito sa halagang ?80, magkano ang kaniyang kikitain sa bawat isang dosenang t-shirt na maibebenta?",?150,?160,?170,?180,D,
"Ang silid ni Gng. Cortez ay hugis parisukat at may sukat na tulad ng makikita sa itaas. Kung palalagyan niya ito ng carpet, gaano kalapad ang kakailanganin niya?",3 metro kuwadrado,6 metro kuwadrado,9 metro kuwadrado,12 metro kuwadrado,C,
"Ang karaniwang konsumo ng tubig ng pamilya Martinez ay 40 metro kubiko. Dahil sa tagas sa isang sirang tubo, tumagas ito ng 58 metro kubiko. Magkano ang naaksayang tubig kung ang 1 metro kubiko ay may halagang ?10?",?180,?280,?400,?580,A,
"Kung ang kaarawan ni Cookie ay tatapat sa araw ng Biyernes, huling linggo ng Hunyo, anong petsa ito?",8,15,22,29,D,
Si jake ay isang salesman ng MRTB Distribution Company. Inatasan siyang magtala ng mga produktong naibenta. Saan niya maaaring ilista ang mga libro na binili ng isang kostumer?,A,S,H,V,B,
"Batay sa mapa sa itaas, saan patungo si Rita kung siya ay naglalakad sa Sampaguita Street, kumanan sa Rosal Street, at kumaliwa sa Gumamela Street?",Paaralan,Simbahan,Plaza,Palengke,A,
Si Ramon ay nais magpatayo ng pagawaan ng alak. Anong siyentipikong paraan ang kinakailangan sa ganitong negosyo?,Preserbasyon,Pagpapausok,Pagpapatuyo,Fermentasyon,D,
"Nakatutulong ang pagtakbo, paglangoy, at iba pang uri ng ehersisyo sa ating katawan sa pamamagitan ng",pagsugpo ng mga karamdaman,pagbibigay ng pahinga at ginhawa,pagpapalakas ng iba;t ibang sistema ng katawan,pagpapabilis ng daloy ng dugo at hangin sa katawan,C,
Nagkaroon ng malubhang sakit ang iyong mga alagang hayop. Sino ang puwede mong lapitan upang makatulong sa iyo?,Albularyo,Beterinaryo,Dentista,Optalmologo,B,
Sa Baryo Masangkay ay may lumalaganap na epidemya dala ng kolera ano ang maaaring sanhi nito?,Maling pagtatapon ng basura,Kawalan ng maayos na palikuran,Kawalan ng mapagkukunan ng malinis na tubig,Lahat ng nabanggit,D,
Alin sa mga sumusunod ang pangunahing dahilan ng pagbaba ng bilang ng Philippine Eagle sa ating kagubatan?,Pagdumi ng hangin,Pagdating ng iba't ibang kalamidad,Unti-unting pagkaubos ng mga punongkahoy,Maling sistema ng pag-aalaga sa ganitong uri ng ibon,C,
"Ang ""inclined plane"" o rampa ay ginagamit para mapadali ang isang gawain. Alin sa mga sumusunod ant tamang pagkakaayos ng rampa upang mapadali ang pagbuhat ng isang bag ng semento paakyat sa isang trak?",,,,,B,
"Ang dampa ni Marvin ay nasa gilid ng isang bundok. Isang araw ay ibinalita ng PHIVOLCS na may naitalang mga pagyanig sa lugar na kinatatayuan ng kaniyang dampa. Ang mga pagyanig ay posibleng tanda ng ""volcanic activity"" sa bundok. Ano ang pinakamainam na gawin ni Marvin",Lisanin ang lugar para sa kaniyang kaligtasan.,Bumaba ng bundok at magtungo sa dalampasigan.,Lagyan ng tukod ang kaniyang bahay para maging matibay.,Pabulaanan ang pahayag ng PHIVOLCS at huwag pansinin ang babala.,A,
Ang bagyong Loleng ay isa sa mga pinakamalakas ng bagyong sumalanta sa Pilipinas. Alin sa mga sumusunod ang HINDI naging epekto ng bagyong Loleng,Polusyon,Sakit at epidemya,Pagkasira ng mga pananim,Pagkawala ng mga ari-arian,A,
Si Karen ay nag-iisa sa kanilang bahay nang magkaroon ng sunog di-kalayuan sa kanila. Ano ang dapat gawin ni Karen?,Lumabas ng bahay.,Tumawag ng bumbero.,Ibaba ang main switch ng kuryente.,Lahat ng nabanggit.,D,
"Ayon sa paniniwala ng mga matatanda, kailangang lagyan ng kutsara ang isang baso bago ito lagyan ng kumukulong tubig upang hindi ito mabasag. Ano ang maaaring maging siyentipikong paliwanag nito?",Ang kutsara ay gagamitin sa pagkuha ng asukat at kape.,Ang basong may kumukulong tubig ay napapalamig ng kutsara.,Ang kutsara ay isang insulator ng humuhigop ng init upang hindi ito mapunta sa baso.,Ang kutsara ay kailangang maibabad sa mainit na tubig para masigorading malinis ito.,C,
