Exam Question,Option - A,Option - B,Option - C,Option - D,Answer,Difficulty
Sinuntok ka ng iyong kasama sa trabaho dahil napagbintangan kang nagkalat ng tsismis tungkol sa kaniya Ano ang dapat mong gawin?,Maghabla sa korte.,Gumanti at manuntok din.,Kausapin siya ng maayos.,Magsawalang-kibo na lamang.,C,
"Dahil sa lubhang mahirap mangisda, nakaisip ng ibang pagkakakitaan ang mag-asawang Nena at Pedro. Ang pangunahing layunin ng mag-asawa sa pagbabagong ito ay para",maging sikat,may maipambisyo,masunod ang kanilang luho,guminhawa ang pamumuhay,D,
"Ano ang pinakamabuting dulot ng ""entrepreneurship""?",Pagtataguyod ng mga produkto,Pag-unlad ng ekonomiya ng bansa,Pagkakaroon ng mas maraming kita,Pamamahagi ng mga produkto at serbisyo,B,
"Sa hilig at galing ni Carlo sa pagguhit, siya ay nararapat na magtrabaho sa isang",ospital,paaralan,vulcanizing shop,advertising agency,D,
"Sa anong uri ng organisasyong pangnegosyo naipatutupad ang kasabihang: ""Maging amo ka ng iyong sarili""?",Partnership,Kooperatiba,Korporasyon,Single proprietorship,D,
"Ayon sa talata, ano ang dahilan ng pag-atake ng hika ni Carina?",Pagpapauwi sa kaniya ng ina,Pagkakalanghap niya ng maruming hangin mula sa bus,Pagpapaliban niya sa pagkuha ng pagsusulit sa matematika,Kakulangan niya ng sapat na paghahanda para sa pagsusulit,B,
Alin sa mga sumusunod ang naging epekto ng polusyon sa hangin kay Carina?,Pagkagalit sa kaniya ng guro,Panunumbalik ng kaniyang sakit na hika,Pag-uwi niya nang maaga buhat sa paaralan,Pagkalimot niya ng daan patunong sa kaniyang paaralan,B,
Alin sa mga sumusunod ang kadalasang nagiging problema ng isang kooperatiba?,Kakulangan sa kapital,Paraana ng pamamalakad,Paghikayat ng mga kasapi,Paghahati-hati ng kapakinabangan,A,
Nagbabalak magtayo ng negosyo si Amalia sa kanilang lugar. Ang mga sumusunod ay mahahalagang bahagi ng kaniyang pagpaplano MALIBAN sa,popularidad na matatamo niya,kapital na kaniyang kakailanganin,uri ng produktong kaniyang ititinda,lugar na pagtatayuan ng kaniyang negosyo,A,
Si Nena ay tindera ng bangus sa palengke. Ano ang pinakamainam niyang gawin kung isa sa kaniyang mamimili ay nagreklamong may amoy gilik ang bangus na kaniyang binebenta,Itigil na ang pagtitinda ng bangus.,Iwasan nag pagbentahan ang nagreklamong mamimili,Isauli ang bayad ng nagreklamong mamimili at humingi ng paumanhin,Murahin ang nagreklamong mamimili at sabihing siya ay sinungaling,C,
Alin sa mga sumusunod ang pinakamabuting epekto ng pagkakaroon ng kompetisyon?,Pagtaas ng presyo ng bilihin,Pag-alis ng mga negosyante sa bansa,Pagpapabuti ng kalidad ng mga produkto at serbisyo,Pagsisiraan ng mga kumpanyang magkakalaban sa negosyo,C,
Ang lugar nag Chernobyll ay naging kilala dahil sa pagsabog ng plantang nukleyar dito. Anong mahalagang kaisipan ang nais ipahiwatig ng insidenteng ito?,Ang paggamit ng enerhiyang nukleyar ay mapanganib.,Ang enerhiyang nukleyar ay malaking tulong sa bawat bansa.,Ang enerhiyang nukleyar ay kumikitil ng buhay at sumisira ng ari-arian.,Magdudulot ng malaking pinsala ang enerhiyang nukleyar kung hindi maingat ang paggamit nito.,D,
Mas mapapalusog ng mga magsasaka ang kanilang pananim kung iiwasan nila ang labis na paggamit ng,patubig,mga insektisdyo,organikong pataba,mga binhing komersyal,B,
"Si G. Dimaculangan ay isang inspektor ng DENR na siyang nangangasiwa sa paglabas at pagpasok ng mga kargamento. Minsan ay may nahuli siyang nagpupuslit ng mga endangered na hayop. Sinusuhulan siya ng may-ari niyo ng ?50,000. Kung ikaw si G. Dimaculangan, paano mo haharapin ang ganitong sitwasyon?",Tatanggaping ko ang suhol at kakalimutan ang nangyari.,Tatanggapin ko ang suhol at pagsasabihan ang may-ari na huwag na itong uulitin pa.,Hindi ko tatanggapin ang suhol dahil hindi ito sapat bilang kabayaran sa kaniyang ginawa.,Hindi ko tatanggapin ang suhol at papatawan ko siya ng karampatang parusa sa kaniyang paglabag.,D,
Alin sa mga sumusunod ang pangunahing dahilan ng unti-unting pagkamatay ng mga ilog sa Pilipinas?,Patuloy na paglaki ng populasyon,Hindi pagpapahalaga sa yamang tubig ng mga tao,Walang pakundangang pagtatapon ng basura sa mga ilog,Lahat ng nabanggit.,D,
"Ayon sa talata, nagpasya ang may-ari ng pagawaan na ipatigil ang paggamit ng makinarya upang",maiwasan na maharap sa isang mabigat na sa kaso sa korte,pangalagaan ang kalusugan ng kaniyang mga manggagawa,hikayatin ang mga manggagawa na makiisa sa kaniyang layunin,pigilan ang gawaing pag-aaklas ng mga manggagawa laban sa kaniya,B,
Alin sa mga sumusunod na aspeto ang isanaalang-alang ng may-ari sa kaniyang pagpapasya?,Kapital,Makinarya,Manggagawa,Antas ng produksyon,C,
Ipinagbabawal ang paggamit ng dinamita sa pangingisda dahil sa,lubhang mahal ang dinimita,sobrang dami ang nahuhuling isda,nasisira ang maraming uri ng yamang-dagat,wala namang pagbabago sa kita ng mga mangigisda,C,
Ang inyong bahay ay nasa harap ng isang ospital at nagtapos ka ng kurosng pharmacy. Anong negosyo ang pinakamagandang itaguyod mo?,Botika,Laundry Shop,Tindahan,Computer Rental,A,
Unti-unting nalulugi ang isa kumpanya. Ano ang pinakamabuting gawin ng may-ari ng kumpanya?,Isara agad ang kumpanya.,Humanap ng ibang empleyado.,Itaas ang presyo ng mga produkto.,Pag-aralang mabuti ang dahilan ng problema.,D,
