Exam Question,Option - A,Option - B,Option - C,Option - D,Answer,Difficulty
"Ayaw na ayaw ni Albert na kumain ng gulay. Isang araw ay nagkasakit siya. Sa klinika, sinabi ng doktor na humina ang resistensya niya dahil sa kakulangan ng sapat na sustansiya sa katawan. Ano ang dapat gawin ni Albert?",Huwag nang magpatingin sa doktor.,Magpatuloy sa hindi pagkain ng gulay.,Matutong kumain ng gulay para lumakas.,Ipagsawalang-bahala ang bilin ng doktor.,C,
"Napagalitang ng guro si Donato dahil palagi itong lumiliban sa klase. Kung ikaw ang kaibigan ni Donato, ano ang dapat mong gawin?",Makikiayon sa sama ng loob ng kaibigan.,Pupulungin ang mga mag-aaral upang mag-aklas laban sa nasabing guro.,Yayayain itong uminom ng serbesa upang mabawasan ang sama ng loob.,Hihikayatin ang kaibigan na magpakasipag sa pag-aaral upang hindi na mapagalitan.,D,
Maraming pamilya ang naapektuhan ng bagyo sa San Jose. Dumating ang mga taga-DSWD para mamigay ng mga pagkain sa mga nasalanta ng bagyo. Ano ang gagawin mo kung isa ka sa mga taong naapektuhan ng bagyo?,Makikipag-unahan sa rasyon ng pagkain,Pipila nang maayos at hihintaying mabigyan,Hahayaang hindi makakuha ng rasyon para sa pamilya,Sisigawan ang mga kapwa na nasalanta upang unang mabigyan,B,
"Kung ikaw ang nasa katayuan ni Mang Igo, ano ang nararapat mong gawin?",Gamitin ang pera para sa mga kaibigan nang hindi mapahiya.,Magalit at sabihing wala silang karapatan sa napanalunang pera.,Sumama sa mga kaibigan at ilihim sa pamilya ang pagkapanalo.,Humingi ng paumanhin at sabihing ilalaan ang perang napanalunan para sa pangangailangan ng pamilya,D,
Alin sa mga sumusunod ang maaaring isaalang-alang ni Mang Igo sa kaniyang gagawing desisyon?,Pakikisama sa iba,Sariling kapakanan,Impluwensya ng barkada,Pagpapahalaga sa pamilya,D,
Makikipaglaro ka ng basketbol. Isa sa mga kasama mo sa koponan ay napikon at nakipagsuntukan sa isa sa mga kalaban na dayo lamang sa inyong lugar. Ano ang gagawin mo?,Kakampi sa kaibigan at sasali sa suntukan.,Magatatawag ng kakampi para magulpi ang dayo.,Aawatin sila at paghihiwalayin para matigil ang gulo.,Manonood na lamang at hihintayin kung sino ang mananalo.,C,
Kailan isinasagawa ang simbang gabi ng mga Katoliko?,Pasko,Ramadan,Bagong Taon,Pasko ng Pagkbuhay,A,
"Nagbabalak na mamasyal ang barkda ni Mark. Nagkataon naman na ang araw ng pamamasyal nila ay tumapat sa ika-50 anibersaryo ng kaniyang lolo at lola. Kung ikaw ang nasa katayuan ni Mark, ano ang pinakamabuti mong gawin?",Pareho kong hindi dadaluhan ang dalawang okasyon.,Sasama ako sa mga kaibigan at hindi papansinin ang sasabihin ng pamilya.,Dadalo ako sa anibersaryo ng lolo at lola kahit ano pa ang isipin ng barkada.,Pipilitin ko ang mga kaibigan na dumalo ng anibersaryo ng lolo at lola at saka mamamasyal kung may pagkakataon pa,C,
Ikaw ang naatasan maging lider ng isa proyekto para sa Sibika at Kultura. Ano sa iyong palagay ang pinamabuting sistema upang maging matagumpay ang inyong proyekto?,Ibibigay ko ang lahat ng trabaho sa pinakamatalinong ka-grupo.,Gagawin ko ang trabaho kahit walang tulong ng ibang miyembro.,Hahayaan ko ang lahat ng miyembro na kumilos ayon sa gusto nila.,Hahatiin ko ang trabaho sa bawat miyembro upang ang lahat ay may bahagi sa proyekto.,D,
Paano mo maipapakita ang iyong paggalang sa ating bandila habang ito ay itinataas sa tagdan?,Tatayo nang tuwd at aawitin ang pambansang awit ng malakas.,"Ilalagay ang kanang kamay sa dibdib, tatayon ng tuwid at aawitin ang pambansang awit.","Ilalagay ang kanang kamay sa balikat, tatayo ng tuwid, at aawitin ang pambasang awit.",Tatayo ng tuwid habang ang kanang kamay ay nasa dibdib at papanoorin ang pagtaas ng bandila.,B,
